month,event,fatalities
2014-06-01T00:00:00Z,1,2
2014-07-01T00:00:00Z,3,14
2014-08-01T00:00:00Z,0,0
2014-09-01T00:00:00Z,0,0
2014-10-01T00:00:00Z,0,0
2014-11-01T00:00:00Z,2,48
2014-12-01T00:00:00Z,1,10
2015-01-01T00:00:00Z,3,62
2015-02-01T00:00:00Z,5,33
2015-03-01T00:00:00Z,3,94
2015-04-01T00:00:00Z,1,5
2015-05-01T00:00:00Z,3,62
2015-06-01T00:00:00Z,3,48
2015-07-01T00:00:00Z,4,122
2015-08-01T00:00:00Z,0,0
2015-09-01T00:00:00Z,4,45
2015-10-01T00:00:00Z,3,63
2015-11-01T00:00:00Z,5,45
2015-12-01T00:00:00Z,5,52
2016-01-01T00:00:00Z,3,16
2016-02-01T00:00:00Z,1,60
2016-03-01T00:00:00Z,1,2
2016-04-01T00:00:00Z,1,2
2016-05-01T00:00:00Z,0,0
2016-06-01T00:00:00Z,0,0
2016-07-01T00:00:00Z,0,0
2016-08-01T00:00:00Z,0,0
2016-09-01T00:00:00Z,0,0
2016-10-01T00:00:00Z,0,0
2016-11-01T00:00:00Z,1,2
2016-12-01T00:00:00Z,2,3
2017-01-01T00:00:00Z,2,13
2017-02-01T00:00:00Z,1,5
2017-03-01T00:00:00Z,1,6
2017-04-01T00:00:00Z,2,3
2017-05-01T00:00:00Z,2,10
2017-06-01T00:00:00Z,2,4
2017-07-01T00:00:00Z,2,8
2017-08-01T00:00:00Z,2,10
2017-09-01T00:00:00Z,0,0
2017-10-01T00:00:00Z,2,10
2017-11-01T00:00:00Z,1,4
2017-12-01T00:00:00Z,1,2
2018-01-01T00:00:00Z,0,0
2018-02-01T00:00:00Z,0,0
2018-03-01T00:00:00Z,2,4
2018-04-01T00:00:00Z,0,0
2018-05-01T00:00:00Z,0,0
2018-06-01T00:00:00Z,0,0
2018-07-01T00:00:00Z,0,0
2018-08-01T00:00:00Z,0,0
2018-09-01T00:00:00Z,0,0
2018-10-01T00:00:00Z,1,7
2018-11-01T00:00:00Z,0,0
2018-12-01T00:00:00Z,3,6
2019-01-01T00:00:00Z,0,0
2019-02-01T00:00:00Z,1,2
2019-03-01T00:00:00Z,0,0
2019-04-01T00:00:00Z,0,0
2019-05-01T00:00:00Z,0,0
2019-06-01T00:00:00Z,0,0
2019-07-01T00:00:00Z,0,0
2019-08-01T00:00:00Z,2,11
2019-09-01T00:00:00Z,0,0
2019-10-01T00:00:00Z,0,0
2019-11-01T00:00:00Z,0,0
2019-12-01T00:00:00Z,0,0
2020-01-01T00:00:00Z,3,14
2020-02-01T00:00:00Z,1,1
2020-03-01T00:00:00Z,0,0
2020-04-01T00:00:00Z,0,0
2020-05-01T00:00:00Z,1,4
2020-06-01T00:00:00Z,1,1
2020-07-01T00:00:00Z,0,0
2020-08-01T00:00:00Z,0,0
2020-09-01T00:00:00Z,0,0
2020-10-01T00:00:00Z,0,0
2020-11-01T00:00:00Z,0,0
2020-12-01T00:00:00Z,1,3
2021-01-01T00:00:00Z,0,0
2021-02-01T00:00:00Z,0,0
2021-03-01T00:00:00Z,0,0
2021-04-01T00:00:00Z,0,0
2021-05-01T00:00:00Z,0,0
2021-06-01T00:00:00Z,0,0
2021-07-01T00:00:00Z,0,0
2021-08-01T00:00:00Z,0,0
2021-09-01T00:00:00Z,0,0
2021-10-01T00:00:00Z,0,0
2021-11-01T00:00:00Z,0,0
2021-12-01T00:00:00Z,0,0
2022-01-01T00:00:00Z,0,0
2022-02-01T00:00:00Z,0,0
2022-03-01T00:00:00Z,0,0
2022-04-01T00:00:00Z,0,0
2022-05-01T00:00:00Z,0,0
2022-06-01T00:00:00Z,0,0
2022-07-01T00:00:00Z,0,0
2022-08-01T00:00:00Z,0,0
2022-09-01T00:00:00Z,0,0
2022-10-01T00:00:00Z,0,0
2022-11-01T00:00:00Z,0,0
2022-12-01T00:00:00Z,0,0
